"","Rank","Year","Title","Artist","Lyrics"
"147",47,"1973","I Can Understand It","The New Birth",""
"148",48,"1973","Money","Pink Floyd",""
"149",49,"1973","Give Your Baby A Standing Ovation","The Dells","I'm that b- (Yeah)
Been that b-, still that b- (Ah)
Will forever be that b- (Forever be that b-)Yeah (Ayy, ah)

I'm the hood Mona Lisa, break a n- into pieces
Had to X some cheesy n- out my circle like a pizza (Yeah)
I'm way too exclusive, I don't shop on Insta' boutiques
All them lil' a- clothes only fit fake booties
Bad b-, still talking cash sh-
P- like water, I'm unbothered and relaxing
I would never trip on a n- if I had him
B-, that's my trash, you the maid, so you bagged him, ah

I'm a savage (Yeah)
Classy, bougie, ratchet (Yeah)
Sassy, moody, nasty (Hey, hey, yeah)
Acting stupid, what's happening? (Woah, woah)
B-, what's happening? (Woah, woah)

B-, I'm a savage, yeah
Classy, bougie, ratchet, yeah
Sassy, moody, nasty, huh
Acting stupid, what's happening?
B-, what's happening? (Ayy, ah)

Eat me and record it, but your edge-up all I'm showing (Ah)
I keep my n- private, so his AP all I'm showing (Baow)
Beefing with you b- really getting kinda boring
If it ain't about the money, then you know I'm gon' ignore it

I'm the sh-, ooh (Ayy)
I need a mop to clean the floor, it's too much drip, ooh (Too much drip, ooh)
I keep a knot, I keep a watch, I keep a whip, ooh (I keep a whip, baow)
Let's play a game, Simon says I'm still that b-, ayy (Still that b-)
I'm still that b-, yeah (Ah)

I'm a savage (Yeah)
Classy, bougie, ratchet (Yeah)
Sassy, moody, nasty (Yeah)
Acting stupid, what's happening? (What's up?)
B-, what's happening? (What's up?)

B-, I'm a savage, yeah
Classy, bougie, ratchet, yeah (B-)
Sassy, moody, nasty, huh
Acting stupid, what's happening? (What's up?)
B-, what's happening?

B-, I'm lit like a match, ooh
And any n- I let hit is still attached, ooh
That body right, but you know this p- fat, ooh
I drop a picture, now these b- feel attacked, ayy
Don't let that n- gas you up and get you whacked, ooh

I make a call and get a p- n- smacked, uh
These b- talk 'bout pullin' up, well, where you at? Ooh
I'm in a Lam', b-, catch me if you can, ooh
I'm kickin' b- out they spot, Stalli' Chan, yeah (Ah, yeah)

N- say I taste like sugar, but ain't sh- sweet, hmm, ah
Mwah
Ayy, ayy, ooh, ooh, ooh, ooh, mwah"
"150",50,"1973","The Free Electric Band","Albert Hammond","(Ah)

Well, good for you, I guess you moved on really easilyYou found a new girl and it only took a couple weeks
Remember when you said that you wanted to give me the world? (Ah-ah-ah-ah)
And good for you, I guess that you've been workin' on yourself
I guess that therapist I found for you, she really helped
Now you can be a better man for your brand new girl

Well, good for you, you look happy and healthy, not me
If you ever cared to ask
Good for you, you're doin' great out there without me, baby
God, I wish that I could do that
I've lost my mind, I've spent the night
Cryin' on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Well, good for you, I guess you're gettin' everything you want (ah)
You bought a new car and your career's really takin' off (ah)
It's like we never even happened
Baby, what the fuck is up with that? (Ha)
And good for you, it's like you never even met me
Remember when you swore to God I was the only
Person who ever got you?
Well, screw that and screw you
You will never have to hurt the way you know that I do

Well, good for you, you look happy and healthy, not me
If you ever cared to ask
Good for you, you're doin' great out there without me, baby
God, I wish that I could do that
I've lost my mind, I've spent the night
Cryin' on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Ah-ah-ah-ah
Ah-ah-ah-ah

Maybe I'm too emotional
But your apathy's like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all
Maybe I'm too emotional
Your apathy is like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all

Well, good for you, you look happy and healthy, not me
If you ever cared to ask
Good for you, you're doin' great out there without me, baby
Like a damn sociopath
I've lost my mind, I've spent the night
Cryin' on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Well, good for you, I guess you moved on really easily"
"151",51,"1973","Super Fly Meets Shaft","John & Ernest",""
"152",52,"1973","Drinking Wine Spo-dee O'dee","Jerry Lee Lewis",""
"153",53,"1973","Hey You! Get Off My Mountain","The Dramatics",""
"154",54,"1973","Swamp Witch","Jim Stafford",""
"155",55,"1973","With A Child's Heart","Michael Jackson",""
"156",56,"1973","It Sure Took A Long, Long Time","Lobo",""
"157",57,"1973","Monster Mash","Bobby ""Boris"" Pickett And The Crypt-Kickers",""
"158",58,"1973","Armed And Extremely Dangerous","First Choice",""
"159",59,"1973","Why Me","Kris Kristofferson",""
"160",60,"1973","Doing It To Death","Fred Wesley & The J.B.'s",""
"161",61,"1973","So Very Hard To Go","Tower Of Power",""
"162",62,"1973","Hearts Of Stone","The Blue Ridge Rangers",""
"163",63,"1973","Misdemeanor","Foster Sylvers",""
"164",64,"1973","Time To Get Down","The O'Jays",""
"165",65,"1973","Touch Me In The Morning","Diana Ross",""
"166",66,"1973","Shambala","B.W. Stevenson",""
"167",67,"1973","I' Been Watchin' You","The South Side Movement",""
"168",68,"1973","What About Me","Anne Murray",""
"169",69,"1973","Yesterday Once More","Carpenters",""
"170",70,"1973","Love And Happiness","Earnest Jackson",""
"171",71,"1973","Brother's Gonna Work It Out","Willie Hutch",""
"172",72,"1973","Isn't It About Time","Stephen Stills-Manassas",""
"173",73,"1973","There's No Me Without You","The Manhattans",""
"174",74,"1973","Finder's Keepers","Chairman Of The Board",""
"175",75,"1973","Never, Never, Never (Grande, Grande, Grande)","Shirley Bassey",""
"176",76,"1973","Without You In My Life","Tyrone Davis",""
"177",77,"1973","Think","James Brown",""
"178",78,"1973","Fencewalk","Mandrill",""
"179",79,"1973","I'll Always Love My Mama (Part I)","The Intruders",""
"180",80,"1973","The Plastic Man","The Temptations",""
"181",81,"1973","I'd Rather Be A Cowboy","John Denver",""
"182",82,"1973","I Like You","Donovan",""
"183",83,"1973","First Cut Is The Deepest","Keith Hampshire",""
"184",84,"1973","A Passion Play (Edit #8)","Jethro Tull",""
"185",85,"1973","Letter To Lucille","Tom Jones",""
"186",86,"1973","What's Your Mama's Name","Tanya Tucker",""
"187",87,"1973","Bad Weather","The Supremes",""
"188",88,"1973","Don't Let It Get You Down","The Crusaders",""
"189",89,"1973","Come Live With Me","Roy Clark",""
"190",90,"1973","I Can Make It Thru The Days (But Oh Those Lonely Nights)","Ray Charles",""
"191",91,"1973","Together We Can Make Such Sweet Music","The Spinners",""
"192",92,"1973","Black Byrd","Donald Byrd",""
"193",93,"1973","Out Of The Question","Gilbert O'Sullivan",""
"194",94,"1973","My Heart Just Keeps On Breakin'","The Chi-lites",""
"195",95,"1973","Your Side Of The Bed","Mac Davis",""
"196",96,"1973","Soul Makossa","Afrique",""
"197",97,"1973","Mother-in-law","Clarence Carter",""
"198",98,"1973","Avenging Annie","Andy Pratt",""
"199",99,"1973","I Don't Want To Make You Wait","The Delfonics",""
"200",100,"1973","Roll Over Beethoven","Electric Light Orchestra",""
"201",1,"1974","Band On The Run","Paul McCartney And Wings","Oh, girl
I'd be in trouble if you left me now
'Cause I don't know where to look for loveI just don't know how
Oh, girl
How I depend on you
To give me love when I need it
Right on time you would always be
All my friends call me a fool
They say let the woman take care of you
So I-I try to be hip and think like the crowd
But even the crowd can't help me now, oh
Oh, girl
Tell me, what am I gonna do
I know I've got a guilty face
Girl, I feel so out of place, oh, yeah yeah
Don't know where to go, who to see, yeah
Oh, girl
I guess I better go
I can save myself a lot of useless tears
Girl, I've gotta get away from here
Oh, girl
Pain will double if you leave me now
'Cause I don't know where to look for love
And I don't, I don't know how
Oh, Oh yeah
Oh, girl
Why do I love you so?
Yeah
Better be on my way, I can't stay
Oh yeah
Han han
Have you ever seen such a helpless man, oh no?
Oh girl"
"202",2,"1974","The Streak","Ray Stevens",""
"203",3,"1974","You Make Me Feel Brand New","The Stylistics","My love
I'll never find the words my love
To tell you how I feel my loveMere words could not explain

Precious love
You held my life within your hands
Created everything I am
Taught me how to live again

Only you
Came when I needed a friend
Believed in me through thick and thin

This song is for you, filled with gratitude and love
God bless you
You make me feel brand new
For God bless me with you
You make me feel brand new

I sing this song 'cause you
Make me feel brand new

My love
Whenever I was insecure
You built me up and made me sure

You gave my pride back to me
Precious friend
With you I'll always have a friend
You're someone who I can depend

To walk a path that sometimes bends
Without you
Life has no meaning or rhyme
Like notes to a song out of time
How can I repay you for having faith in me

God bless you
You make me feel brand new
For God bless me with you
You make me feel brand new
I sing this song for you
You"
"204",4,"1974","Dancing Machine","Jackson 5","How long has this been going on?
How long has this been going on?
Well, if friends with their fancy persuasion
Don't admit that it's part of a scheme
But I can't help but have my suspicions
'Cause I ain't quite as dumb as I seem

And you said you was never intending
To break up our scene this way
But there ain't any use in pretending
It could happen to us any day

How long has this been going on?
How long has this been going on?

Ooh, your friends with their fancy persuasion
Don't admit that it's part of a scheme
But I can't help but have my suspicions
'Cause I ain't quite as dumb as I seem

Oh, you said you was never intending
To break up our scene this way
But there ain't any use in pretending
It could happen to us any day

And how long has this been going on?
How long has this been going on?
(How long?)
How long has this been going on?
(How long has this?)
How long has this been going on?
(How long?)
How long has this been going on?"
"205",5,"1974","Sundown","Gordon Lightfoot","(That's right) Get up and boogie
Get up and boogie
(That's right) Get up and boogieGet up and boogie
Boogie
Boogie

(That's right) Get up and boogie
Get up and boogie
(That's right) Get up and boogie
Get up and boogie
Boogie
Boogie"
"206",6,"1974","Billy, Don't Be A Hero","Bo Donaldson And The Heywoods","I used to go out to parties
And stand around
'Cause I was too nervousTo really get down
And my body yearned to be free
So I got up on the floor and found
Someone to choose me
No more standin' along the side walls
Now I've got myself together, baby
And I'm havin' a ball
Long as you prove it
There's always a chance
Somebody watches
I'm gonna make romance
With your body, ooo baby, you dance all night
Get down and prove it, feel all right

Keep on dancin'
Got to give it up"
"207",7,"1974","Help Me","Joni Mitchell",""
"208",8,"1974","The Entertainer","Marvin Hamlisch/""The Sting""","Thank you
Now gimme something I can groove to, please
Yes, thank youWhoo, huh, hey
We, we are... family, yeah, whoo

Yeah, hey, hey, if you want a dance
It's quite alright with us
If you wanna get up, you don't have to sit, yeah

We are family
I got all my sisters with me
We are family
Get up everybody and sing

We are family
I got all my sisters with me
We are family
Get up everybody and sing

Everyone can see we're together
As we walk on by
(And) and we fly just like birds of a feather
I won't tell no lie
(All) all of the people around us they say
Can they be that close?
Just let me state for the record
We're giving love in a family dose

We are family, hey hey, hey, hey, yeah
I got all my sisters with me, woah, oh, oh, oh
We are family, na, na, oh, yeah
Get up everybody and sing (Groove)

We are family
I got all my sisters with me, yeah
We are family
Get up everybody and sing

Living life is fun, and we've just begun
To get our share of this world's delights
(High) high hopes we have for the future
And our goal's in sight
(We) no, we don't get depressed
'Cause here's what we call our golden rule
Have faith in you and the things you do
You won't go wrong, oh no
This is our family jewel

We are family, hey hey, hey, hey, yeah
I got all my sisters with me, woah, oh, oh, oh
We are family, I got my sisters with me
Get up everybody and sing, everybody

We are family, na, na, na, na, hey, yeah
I got all my sisters with me
Jackie, come on and sing it to me

We are family, sing it, sing it, everybody
Get up everybody and sing, yeah, yeah

Yeah, yeah, time to get down
Get up, get up
Get up and sing it to me
Hey, hey, hey
Ah, I can hear ya'll
Sing it, Junie, ooh
Have faith in you and the things you do

Hey, hey, hey, uh, uh, oh
Hey, hey, hey, yeah
Get up, get up, ya'll, uh, uh
Oh, hey, hey, whoo
I got my sisters with me
Linda, Michelle, Timmy, everybody

Hey, hey, hey, huh
Hey, hey, hey, huh
Yeah, hey, hey, huh
Get up, get up and sing it to me
Whoo, yeah, yeah, yeah
We're having fun
Life, life has just begun for me
Me, me and my family, yeah

Get up, get up and sing it
Ah, ah, ah, ah, ah, ah, ah, yeah
Get up, get up and sing, sing it
Sing it, sing it, sing it to me, yeah
We have fun together
Like birds of a feather

Hey, hey, hey hey, hey
Ah, na, na, na
Go ahead, Junie sing that song
Okay, aw man, I can feel the energy in here tonight
I tell ya what, we feel like one big family, whoo
We want you to raise your hands high in the air
C'mon everybody

Reach up, reach up, reach up
Lookin' good
Reach up, reach up, reach up, reach up
We want you to repeat it
Loud and clear
Here we go
One, two, one, two, you say

(We are family) Hey, hey
(I got all my sisters with me) and my brothers with me
(We are family) Sing it, sing it to me
(Get up everybody and sing) Whoo, c'mon everybody

(We are family)
(I got all my sisters with me) and my brothers with me
C'mon (We are family) Hey, hey, hey
I got all my sisters with me
Yeah, yeah, yeah

(We are family)
I got my sisters
Right here, right now
One more time, people

(We are family) Hey, hey, hey, hey yeah
(I got all my sisters with me) and my brothers with me
Hey, hey, hey
Whoo, whoo, whoo, ooh, ooh, ooh
Ooh, ooh, ooh, ooh, ooh
We are family
We are family
We are family
We are family

We are family
We are family
We are family
Alright, we love you
Amen
It's gonna be a hot night, whoo"
"209",9,"1974","Midnight At The Oasis","Maria Muldaur","Y-e-a-h...

(Sunrise) There's a new sun arisin'
(In your eyes) I can see a new horizon

(Realize) That will keep me realizin'
You're the biggest part of me

(Stay the night) Need your lovin' here beside me
(Shine the light) Need you close enough to guide me
(All my life) I've been hopin' you would find me
You're the biggest part of me

W-e-l-l...

Make a wish baby
Well and I will make it come true
Make a list baby
Of the things I'll do for you
Ain't no risk now
In lettin' my love rain down on you
So we could wash away the past
So that we may start anew...

(Rainbow) Risin' over my shoulder
(Love flows) Gettin' better as we're older
(All I know) All I want to do is hold her
She's the life that breathes in me
(Forever) Got a feelin' that forever
(Together) We are gonna stay together
(Better) For me there's nothin' better
You're biggest part of me

W-e-l-l...

Make a wish baby
(Wishin' it will come true) Well and I will make it come true
Make a list baby (make a list)
Of the things I'll do for you
Ain't no risk now
Lettin' my love rain down on you
So we could wash away the past (ah-ah)
So that we may start anew...

Oh...

More than an easy feelin'
She brings joy to me
How can I tell you what it means to me
Flow like a lazy river
For an eternity
I've finally found someone who believes in me
(Who believes believes in me) And I'll never leave
(Now I've found what I need...)

Oh...

Ah not to doubt now
M-m-m... make life grand

W-e-l-l...

Make a wish baby
(Wishin' it will come true) Well and I will make it come true
Make a list baby (make a list)
Of the things I'll do for you
Ain't no risk now
Lettin' my love rain down on you
So we could wash away the past (ah-ah)
So that we may start anew...
Yeah-yeah-yeah
(Beside me) Need your lovin' here beside me
(To guide me) Keep it close enough to guide me
(Inside of me) From the fears that are inside of me
You're the biggest part of me

(Forever) Got a feelin' that forever
(Together) We are gonna stay together
(Forever) From now until forever
You're the biggest part of me
You're the life that breathes in me
You're the biggest part of me...
M-m-m... m-m-m...
You changed my life
You made it right
And I'll be a servant to you
For the rest of my life
You're the biggest part of me...
Yeah... yeah"
"210",10,"1974","For The Love Of Money","The O'Jays","Come! that's light!
Let's do it! Let's do it!

You gotta beat the clock
You gotta beat the clock

Uhuhuh uh uhuh uh uhuh uhuh
Uhuhuh uh uhuh uh uhuh uhuh
Uhuhuh uh uhuh uh uhuh uhuh
Uhuhuh uh uhuh uh uhuh uhuh

You can boogie like disco
Love that disco sound
Move all your body
Spin it all around
But don't, don't, don't, don't
Don't forget, oh no
Don't, don't, don't, don't
Don't forget, oh no no no

The Stars on '45
Keep on turning in your mind
Like ""We Can Work it Out""
Remember ""Twist and Shout""
You still don't ""Tell Me Why"" and ""No Reply""

That's light, that's light!
You gotta beat the clock
You gotta beat the clock

But don't, don't, don't, don't
Don't forget

Uhuhuh uh uhuh uh uhuh uhuh

Boogie nights, won't you take me to
Boogie nights, Funkytown
Boogie nights, won't you take me to
Boogie nights, Funkytown
Boogie nights, won't you take me to
Boogie nights, Funkytown
Boogie nights, won't you take me to
Boogie nights, Funkytown

I heard you on the wireless back in fifty two
Lying awake intent at tuning in on you
If I was young it didn't stop you coming through - Oh-a oh

Sugar, oh honey honey
You are my candy girl
And you got me wanting you
Honey, oh sugar sugar
You are my candy girl
And you got me wanting you
One, two, three, four...

Don't want your love any more
Don't want your kisses, that's for sure

Do do do
Down dooby doo down down
Comma, comma, down dooby doo down down
Comma, comma, down dooby doo down down
Breaking up is hard to do

Dum-dum-dum-dummy doo-wah,
Ooh yay, yay, yay, yeah
Oh, oh oh oh oh ooh-ah-ah,
Only the lonely, only the lonely

It's a saturday night and I feel all right
So come on, let's dance - look at me

Jimmy Mack, Jimmy
Oh, Jimmy Mack
When are you comin' back?
Jimmy Mack, Jimmy
Oh, Jimmy Mack
When are you comin' back?

Here comes that rainy day feeling again
And soon my tears they will be falling like rain

She was afraid to come out of the locker
She was as nervous as she could be
She was afraid to come out of the locker
She was afraid that somebody would see
(Two, three, four, tell the people what she wore)

Uhuhuh uh uhuh uh uhuh uhuh
Uhuhuh uh uhuh uh uhuh uhuh
Uhuhuh uh uhuh uh uhuh uhuh
Uhuhuh uh uhuh uh uhuh uhuh

You can boogie like disco
Love that disco sound
Move all your body
Spin it all around
But don't, don't, don't, don't
Don't forget, oh no
Don't, don't, don't, don't
Don't forget, oh no no no

The Stars on '45
Keep on turning in your mind
Like ""We Can Work it Out""
Remember ""Twist and Shout""
You still don't ""Tell Me Why"" and ""No Reply""

Uhuhuh uh uhuh uh uhuh uhuh
Uhuhuh uh uhuh uh uhuh uhuh
Uhuhuh uh uhuh uh uhuh uhuh
Uhuhuh uh uhuh uh uhuh uhuh
Uhuhuh uh uhuh uh uhuh uhuh..."
"211",11,"1974","Be Thankful For What You Got","William DeVaughn","Hey lady, you lady
Cursing at your life
You're a discontented motherAnd a regimented wife
I 've no doubt
You dream about the things you'll never do
But I wish someone had a talk to me like I wanna talk to you

Ooh, I've been to Georgia and California and anywhere I could run
Took the hand of a preacher man
And we made love in the sun
But I ran out of places and friendly faces
Because I had to be free

I've been to paradise but I've never been to me...

Please lady please lady
Don't just walk away
'Cause I have this need to tell you
Why I'm all alone today
I can see so much of me
Still living in your eyes

Won't you share a part
Of a weary heart that has lived a million lives

Ooh, I've been to Nice and the Isle of Greece
When I sipped champagne on a yacht
I moved like Harlow in Monte Carlo
And showed them what I've got

I've been undressed by kings
And I've seen some things that a woman ain't s'posed to see
I've been to paradise but I've never been to me...

Hey, you know what paradise is?
It's a lie
A fantasy we created about people and places
As we like them to be
But you know what truth is?

It's that little baby you're holding
And it's that man you fought with this morning
The same one you are gonna make love to tonight
That's truth that's love

Sometimes I've been to crying for unborn children
That might have made me complete
But I, I took the sweet life
I never knew I'd be bitter from the sweet

I spent my life exploring
The subtle whoring
That costs too much to be free
Hey lady I've been to paradise
But I've never been to me...

I've been to paradise - never been to me
(I've been to Georgia and California, and anywhere I could run)
I've been to paradise - never been to me
(I've been to Nice and the isle of Greece
While I sipped champagne on a yacht)
I've been to paradise - never been to me"
"212",12,"1974","My Girl Bill","Jim Stafford","Don′t put your head on my shoulder
Sink me in a river of tears
This could be the best place yet
But you must overcome your fears

Ooh in time it could have been so much more
The time is precious I know
In time it could have been so much more
The time has nothing to show

Because time won't give me time
And time makes lovers feel
Like they′ve got something real
But you and me we know
They've got nothing but time
And time won't give me time
Won′t give me time
(Time, Time, Time...)

Don′t make me feel any colder
Time is like a clock in my heart
Touch we touch was the heat too much
I felt I lost you from the start

Ooh, in time it could have been so much more
The time is precious I know
In time it could have been so much more
The time has nothing to show

Because time won't give me time
And time makes lovers feel
Like they′ve got something real
But you and me we know
They've got nothing but time
And time won′t give me time
Won't give me time
(Time, Time, Time...)

Ooh, in time it could have been so much more
The time is precious I know
In time it could have been so much more
The time has nothing to show

Because time won′t give me time
And time makes lovers feel
Like they've got something real
But you and me we know
They've got nothing but time

And you know time won′t give me time
And time makes lovers feel
Like they′ve got something real
But you and me we know
They've got nothing but time

And you know time won′t give me time
And time makes lovers feel"
"213",13,"1974","Oh Very Young","Cat Stevens","You should've been gone
Knowing how I made you feel
And I should've been goneAfter all your words of steel
Oh, I must've been a dreamer
And I must've been someone else
And we should've been over

Oh, Sherrie, our love
Holds on, holds on
Oh, Sherrie, our love
Holds on, holds on

Oh, I want to let go
You'll go on hurtin' me
You'd be better off alone
If I'm not who you thought I'd be

But you know that there's a fever
Oh, that you'll never find nowhere else
Can't you feel it burnin'
On-and-on

Oh, Sherrie, our love
Holds on, holds on
Oh, Sherrie, our love
Holds on, holds on
Oh, Sherrie

Oh, Sherrie

But I should've been gone
Long ago, far away
And you should've been gone
Now I know you'd lie
You'll stay

Oh, Sherrie, our love
Holds on, holds on
Oh, Sherrie, our love
Holds on, holds on

Oh, Sherrie, our love
Holds on, holds on

Hold on
Oh, Sherrie"
"214",14,"1974","The Loco-Motion","Grand Funk",""
"215",15,"1974","If You Love Me (let Me Know)","Olivia Newton-John","I believe the children are our future
Teach them well and let them lead the way
Show them all the beauty they possess insideGive them a sense of pride to make it easier
Let the children's laughter remind us how we used to be

Everybody searching for a hero
People need someone to look up to
I never found anyone who fulfill my needs
A lonely place to be
And so I learned to depend on me

I decided long ago
Never to walk in anyone's shadows
If I fail, if I succeed
At least I'll live as I believe
No matter what they take from me
They can't take away my dignity

Because the greatest love of all
Is happening to me
I found the greatest love of all
Inside of me
The greatest love of all
Is easy to achieve
Learning to love yourself
It is the greatest love of all

I believe the children are our future
Teach them well and let them lead the way
Show them all the beauty they possess inside
Give them a sense of pride to make it easier
Let the children's laughter remind us how we used to be

I decided long ago
Never to walk in anyone's shadows
If I fail, if I succeed
At least I'll live as I believe
No matter what they take from me
They can't take away my dignity

Because the greatest love of all
Is happening to me
I found the greatest love of all
Inside of me

The greatest love of all
Is easy to achieve
Learning to love yourself
Is the greatest love of all

And if, by chance, that special place
That you've been dreaming of
Leads you to a lonely place
Find your strength in love"
"216",16,"1974","The Show Must Go On","Three Dog Night",""
"217",17,"1974","Hollywood Swinging","Kool & The Gang",""
"218",18,"1974","I Won't Last A Day Without You","Carpenters","Now, now, now, now
Calm down
Oh yesIt's me again
I'm crazy

I can't sleep at night, I toss and turn
Listenin' for the telephone
But when I get your call I'm all choked up
Can't believe you called my home
And as a matter of fact, it blows my mind
You would even talk to me
Because a girl like you is like a dream come true
A real life fantasy

No matter what your friends try to tell ya
We were made to fall in love
And we will be together, any kind of weather
It's like that, it's like that

Every little step I take
You will be there
Every little step I make
We'll be together
Every little step I take
You will be there
Every little step I make
We'll be together

I can't sleep at night, I toss and turn
Listenin' for the telephone
But when I get your call I'm all choked up
Can't believe you called my home
And as a matter of fact, it blows my mind
You would even talk to me
Because a girl like you is like a dream come true
A real life fantasy

No matter what your friends try to tell ya
We were made to fall in love
And we will be together, any kind of weather
It's like that, it's like that, girl

Every little step I take
You will be there
Every little step I make
We'll be together
Every little step I take (every step)
You will be there
Every little step I make
We'll be together

Every little, woo!
Every little step I (every little step)
Every little, every little step I take
Every little
Every little step I (every little step)
Every little, we'll be together girl

Good lovin'

No matter what your friends try to tell ya
We were made to fall in love
We will always be together, any kind of weather
It's like that, it's like that (girl)

Every little step I take
You will be there
Every little step I make
We'll be together
Every little step I take
You will be there
Every little step I make
We'll be together

Every little step I take (oh, no)
You will be there
Every little step I make (you'll be, you'll be there)
We'll be together
Every little step I take (every step)
You will be there
Every little step I make
We'll be together

Every little step I (every little step)
Every little
Every little step I take
Every little
Every little step I take (every little step)
Every little (we'll be together girl)
Every little step I take (you got the good lovin')"
"219",19,"1974","I'm In Love","Aretha Franklin","Yeah, Spyderman and Freeze in full effect
Uh-huh
You ready, Ron?I'm ready
You ready, Biv?
I'm ready, Slick, are you?
Oh, yeah, break it down

Girl, I, must (warn you)
I sense something strange in my mind
Situation is (serious)
Let's cure it cause we're running out of time
It's oh, so (beautiful)
Relationships they seem from the start
It's all so (deadly)
When love is not together from the heart

It's drivin' me out of my mind!
That's why it's hard for me to find
Can't get it out of my head!
Miss her, kiss her, love her
(Wrong move you're dead!)

That girl is (poison)
Never trust a big butt and smile
That girl is (poison).

If I were you I'd take pre (-caution)
Before I start to meet a fly girl, you know?
'Cause in some (portions)
You'll think she's the best thing in the world

She's so (fly)
She'll drive you right out of your mind
And steal your heart when you're blind
Beware she's schemin', she'll make you think you're dreamin'
You'll fall in love and you'll be screaming, demon, ooh

Poison, deadly, movin' in slow
Lookin for a mellow fellow like DeVoe
Gettin paid, laid, so better lay low
Schemin on house, money, and the whole show
The low pro ho she'll be cut like an afro
See what you're sayin', huh, she's a winner to you
But I know she's a loser
(How do you know?)
Me and the crew used to do her!

POISON!
POISON!
POISON!
POISON!
POISON!
POISON!
POISON!
POISON!
POISON!
POISON!
POISON!
POISON!
POISON!
POISON!
POISON!
POISON!

I was at the bar, shake, breakin and takin 'em all
And that night, I played the wall
Checkin' out the fellas, the highs and lows
Keepin' one eye open, still clockin' the hoes
There was one particular girl that stood out from the rest
Poison as can be, the high power chest
Michael Biv here and I'm runnin' the show
Bell, Biv DeVoe
Now you know!
Yo, Slick, blow

It's drivin' me out of my mind!
That's why it's HARD for me to find
Can't get it out of my head!
Miss her, kiss her, love her
(Wrong move you're dead!)

That girl is (poison)
Never trust a big butt and smile
That girl is (poison)
(POISON!!)

Yo' fellas, that was my end of
You know what I'm sayin', Mike?
Yeah, B.B.D. in full effect
Yo', wassup to Ralph T and Johnny G
And I can't forget about my boy, B. Brown
And the whole NE crew
Poison"
"220",20,"1974","You Won't See Me","Anne Murray",""
"221",21,"1974","Haven't Got Time For The Pain","Carly Simon","Ooh, bop!
No, you're never gonna get it (ow!)
Never ever gonna get it(No, not this time)
No, you're never gonna get it
(My love)
Never ever gonna get it
No, you're never gonna get it (ow!)
Never ever gonna get it
(No, not this time)
No, you're never gonna get it
(My love)
Never ever gonna get it

Ooh, bop!
I remember how it used to be
You never was this nice, you can't fool me
Ooh, bop!
Now you're talkin' like you never change
The more you talk the more things sound the same

What makes you think you can just walk back into her life
Without a good fight, oh
I just sit back and watch you make a fool of yourself
'Cause you're just wasting your time, oh

No, you're never gonna get it
(Not this time)
Never ever gonna get it
(My lovin')
No, you're never gonna get it
(Had your chance to make a change)
Never ever gonna get it
No, you're never gonna get it
(Not this time)
Never ever gonna get it
(My lovin')
No, you're never gonna get it
(Had your chance to make a change)
Never ever gonna get it

Ooh, bop!
Now you promise me the moon and stars
Save your breath, you won't get very far
Ooh, bop!
Gave you many chances to make change
The only thing you changed was love to hate

It doesn't matter what you do or what you say
She doesn't love you, no way
Maybe next time you'll give your woman a little respect
So you won't be hearing her say, no way

No, you're never gonna get it
(Not this time)
Never ever gonna get it
(My lovin')
No, you're never gonna get it
(Had your chance to make a change)
Never ever gonna get it
No, you're never gonna get it
(Not this time)
Never ever gonna get it
(My lovin')
No, you're never gonna get it
(Had your chance to make a change)
Never ever gonna get it

No, you're never gonna get it
(Not this time)
Never ever gonna get it
(My lovin')
No, you're never gonna get it
(Had your chance to make a change)
Never ever gonna get it

No, you're never gonna get it
(Not this time)
Never ever gonna get it
(My lovin')
No, you're never gonna get it
(Had your chance to make a change)
Never ever gonna get it

Ooh, bop
Woo! Yes sir
I give to the needy and not the greedy
Mmhmm, that's right, 'cause ya see baby
Ooh, bop
When ya lackin', ya losin'
And I'm out the door

Doesn't matter what you do or what you say
She don't love you, no way
Maybe next time, you'll give your woman a little respect
So you won't be hearing her say, no way

And now it's time for a breakdown

Never gonna get it, never gonna get it
Never gonna get it, never gonna get it
Never gonna get it, never gonna get it
Never gonna get it, w-whoa whoa whoa!

Never gonna get it, never gonna get it
Never gonna get it, never gonna get it
Never gonna get it, never gonna get it
Never gonna get it, never get it

No, you're never gonna get it
(Sweet lovin')
Never ever gonna get it
(Sweet lovin')
No, you're never gonna get it
(My lovin')
Never ever gonna get it
(My lovin')

No, you're never gonna get it
(Sweet lovin')
Never ever gonna get it
(My lovin')
No, you're never gonna get it
(Sweet lovin')
Never ever gonna get it
(My lovin')
No, you're never gonna get it
(Not this time)
Never ever gonna get it
(Sweet lovin')
No, you're never gonna get it
(My sweet lovin')
Never ever gonna get it
(My sweet lovin')"
